Feature Name,Northmost Latitude,Southmost Latitude,Eastmost Longitude,Westmost Longitude,Center Latitude,Center Longitude,URL
Sinlap,12.10,10.40,15.10,16.90,11.30,16.00,https://planetarynames.wr.usgs.gov/Feature/7026
Sionascaig Lacus,-40.57,-42.46,276.00,280.23,-41.52,278.12,https://planetarynames.wr.usgs.gov/Feature/15095
Skelton Sinus,77.70,76.10,313.00,317.40,76.80,314.90,https://planetarynames.wr.usgs.gov/Feature/15287
Soi,25.00,23.50,140.00,141.80,24.30,140.90,https://planetarynames.wr.usgs.gov/Feature/14925
Sotonera Lacus,77.00,76.20,14.72,20.26,76.75,17.49,https://planetarynames.wr.usgs.gov/Feature/14322
Sotra Patera,-14.18,-14.98,39.74,40.46,-14.54,40.00,https://planetarynames.wr.usgs.gov/Feature/15077
Sparrow Lacus,85.00,83.60,58.20,72.30,84.30,64.70,https://planetarynames.wr.usgs.gov/Feature/14323
Suwa Lacus,74.30,74.00,134.90,135.60,74.10,135.20,https://planetarynames.wr.usgs.gov/Feature/15579
Synevyr Lacus,81.30,80.60,51.40,55.60,81.00,53.60,https://planetarynames.wr.usgs.gov/Feature/15638
Taniquetil Montes,-2.90,-4.16,211.84,214.77,-3.67,213.26,https://planetarynames.wr.usgs.gov/Feature/15050
Tasmania Facula,10.23,10.57,167.66,167.09,10.41,167.37,https://planetarynames.wr.usgs.gov/Feature/16063
Taupo Lacus,72.90,72.40,131.60,133.50,72.70,132.60,https://planetarynames.wr.usgs.gov/Feature/15574
Tengiz Lacus,73.60,72.70,103.30,108.60,73.20,105.60,https://planetarynames.wr.usgs.gov/Feature/15604
Texel Facula,-10.00,-12.70,180.30,184.60,-11.50,182.60,https://planetarynames.wr.usgs.gov/Feature/7015
Tibi Lacus,77.19,76.18,134.17,136.94,76.65,135.75,https://planetarynames.wr.usgs.gov/Feature/16285
Tishtrya Virgae,25.89,22.06,176.62,182.52,23.84,179.75,https://planetarynames.wr.usgs.gov/Feature/15352
Tlaloc Virgae,28.54,19.36,200.12,214.80,23.73,207.70,https://planetarynames.wr.usgs.gov/Feature/15354
Tleilax Labyrinthus,-45.80,-50.30,13.00,18.40,-48.00,16.00,https://planetarynames.wr.usgs.gov/Feature/15539
Toba Lacus,71.20,70.70,107.60,108.40,70.90,108.10,https://planetarynames.wr.usgs.gov/Feature/15600
Tollan Terra,12.80,0.40,314.00,331.00,6.40,322.70,https://planetarynames.wr.usgs.gov/Feature/14920
Tortola Facula,9.20,8.00,142.50,143.80,8.80,143.10,https://planetarynames.wr.usgs.gov/Feature/7016
Totak Lacus,74.23,73.79,226.27,225.36,74.03,225.99,https://planetarynames.wr.usgs.gov/Feature/16058
Towada Lacus,71.68,71.15,243.80,245.40,71.40,244.20,https://planetarynames.wr.usgs.gov/Feature/14855
Trevize Fretum,75.20,73.10,262.30,276.60,74.40,269.90,https://planetarynames.wr.usgs.gov/Feature/15284
