INDEX,SWATH,SEGMENT,DATE (M),DATE (D),DATE (Y),MEAN – WEST LONGITUDE (DEG),MEDIAN – WEST LONGITUDE (DEG),MIN – WEST LONGITUDE (DEG),MAX – WEST LONGITUDE (DEG),MEAN – LATITUDE (DEG),MEDIAN – LATITUDE (DEG),MIN – LATITUDE (DEG),MAX – LATITUDE (DEG),MEAN – INCIDENCE (DEG),MEDIAN – INCIDENCE (DEG),MIN – INCIDENCE (DEG),MAX – INCIDENCE (DEG),MEAN – POLARIZATION (DEG),MEDIAN – POLARIZATION (DEG),MIN – POLARIZATION (DEG),MAX – POLARIZATION (DEG),MEAN – AZIMUTH (DEG),MEDIAN – AZIMUTH,MIN – AZIMUTH,MAX – AZIMUTH,MEAN – SAR RANGE RESOLUTION (KM),MEDIAN – SAR RANGE RESOLUTION (KM),MIN – SAR RANGE RESOLUTION (KM),MAX – SAR RANGE RESOLUTION (KM),MEAN – SAR AZIMUTH RESOLUTION (KM),MEDIAN – SAR AZIMUTH RESOLUTION (KM),MIN – SAR AZIMUTH RESOLUTION (KM),MAX – SAR AZIMUTH RESOLUTION (KM),MEAN – NUMBER OF LOOKS,MEDIAN – NUMBER OF LOOKS,MIN – NUMBER OF LOOKS,MAX – NUMBER OF LOOKS
28,23,2,1,13,2007,94.43,94.31,81.47,111.07,56.06,56.04,47.03,65.20,12.64,12.68,1.88,22.54,46.12,48.42,31.59,49.51,250.85,251.13,248.17,256.84,2.00,0.84,0.59,15.94,1.43,1.45,1.32,1.68,14.60,11.00,1.00,91.00
29,23,3,1,13,2007,333.10,332.98,318.83,346.74,-34.14,-34.10,-43.57,-24.32,17.01,17.52,1.44,28.40,305.85,305.42,292.79,322.60,239.99,239.80,229.72,264.11,1.66,1.12,0.64,8.40,1.27,1.33,0.58,1.38,9.36,6.00,1.00,42.00
30,25,1,2,22,2007,10.52,28.02,-152.07,62.06,30.74,32.96,-39.91,89.01,21.18,20.54,8.45,38.92,177.59,178.54,117.34,244.63,155.65,161.89,0.14,359.84,0.49,0.42,0.25,2.05,0.39,0.29,0.24,1.57,6.34,7.00,1.00,12.00
31,25,2,2,22,2007,45.63,45.66,34.99,56.81,-31.54,-31.50,-40.14,-23.05,12.39,12.46,1.59,22.13,136.02,133.16,131.53,157.38,192.87,192.77,181.56,196.84,1.65,0.80,0.59,9.15,1.31,1.31,1.21,1.39,3.06,2.00,1.00,18.00
32,25,3,2,22,2007,36.95,95.47,-180.00,180.00,65.78,65.88,41.17,90.00,39.60,39.48,35.27,45.87,112.75,113.56,94.53,128.19,331.81,333.22,312.57,339.62,2.00,1.99,1.84,2.27,2.30,2.14,1.74,3.46,53.14,57.00,1.00,110.00
33,25,4,2,22,2007,24.52,80.14,-180.00,180.00,65.26,65.42,40.62,90.00,36.42,36.26,31.69,42.74,112.08,110.52,94.50,133.84,233.52,334.66,0.12,360.00,2.21,2.19,1.96,2.55,2.84,2.72,2.45,3.70,54.95,51.00,1.00,160.00
34,25,5,2,22,2007,12.46,48.84,-180.00,180.00,65.86,66.00,42.11,90.00,32.83,32.75,28.26,39.18,112.66,112.99,93.03,133.83,158.00,66.63,0.04,359.86,2.47,2.43,2.12,2.97,3.50,3.20,2.53,5.07,52.98,56.00,1.00,118.00
35,28,1,4,10,2007,-22.84,10.18,-158.53,45.65,40.80,50.14,-24.29,86.08,18.65,18.02,5.64,36.20,176.47,178.54,102.56,257.01,154.61,158.83,0.02,359.84,0.61,0.49,0.28,4.18,0.44,0.29,0.24,3.09,6.58,7.00,1.00,27.00
36,28,2,4,10,2007,33.59,33.61,21.99,45.65,-14.15,-14.12,-25.33,-3.18,18.47,19.56,1.64,26.98,119.76,121.77,93.58,138.54,215.16,212.94,196.43,243.44,2.91,1.96,0.54,14.20,1.42,1.21,0.70,4.43,3.90,3.00,1.00,12.00
37,28,3,4,10,2007,223.21,223.21,210.60,237.32,52.81,52.77,44.78,60.92,10.53,10.58,0.92,17.92,233.63,234.70,35.74,351.93,324.68,331.09,169.11,332.18,2.82,1.60,0.56,16.41,1.92,1.88,1.21,3.36,3.20,3.00,1.00,7.00
38,29,1,4,26,2007,-32.74,15.64,-180.00,180.00,49.17,53.50,-7.30,90.00,21.15,20.24,8.41,39.35,178.42,178.55,106.24,248.91,151.99,163.95,0.02,359.98,0.47,0.41,0.25,2.72,0.41,0.29,0.24,1.93,6.68,7.00,1.00,70.00
39,29,2,4,26,2007,29.80,29.80,21.91,37.69,-2.30,-2.29,-6.65,2.02,8.48,8.21,0.57,16.91,107.58,112.05,8.03,355.01,186.99,185.05,106.33,281.66,1.59,1.04,0.59,16.06,1.64,1.21,0.99,16.06,6.51,6.00,1.00,29.00
40,29,6,4,26,2007,211.31,211.44,196.49,228.34,47.77,47.75,39.31,55.42,13.76,13.29,1.40,25.48,227.43,228.08,217.06,229.63,334.04,333.91,329.58,339.15,2.74,1.56,0.74,11.30,1.48,1.52,0.62,1.56,1.95,2.00,1.00,9.00
41,29,3,4,26,2007,12.90,105.91,-180.00,180.00,58.24,58.63,27.90,90.00,44.28,43.68,32.23,58.26,120.18,121.89,103.66,133.74,30.32,31.62,21.32,38.79,1.98,2.04,1.67,2.20,2.52,2.39,1.79,3.76,53.96,42.00,1.00,196.00
42,29,4,4,26,2007,-3.45,-37.39,-180.00,180.00,59.45,60.58,28.04,90.00,41.77,41.01,27.19,58.30,115.83,117.27,101.86,129.27,40.07,38.36,30.22,49.12,2.18,2.23,1.67,2.66,3.58,3.46,3.01,4.30,68.06,48.00,1.00,255.00
43,29,5,4,26,2007,-30.83,-116.87,-180.00,180.00,58.40,59.74,24.86,90.00,41.95,42.29,27.21,55.47,109.21,106.58,92.46,125.86,53.55,56.00,36.96,80.83,2.45,2.45,2.24,2.68,5.78,5.37,3.36,11.43,52.14,44.00,1.00,143.00
44,30,1,5,12,2007,261.33,250.03,215.38,346.60,56.12,59.61,26.68,77.43,22.98,20.87,8.59,47.66,150.95,46.46,0.05,359.98,216.62,214.56,180.29,255.73,0.51,0.45,0.24,2.03,0.55,0.46,0.36,2.03,6.11,7.00,1.00,18.00
45,30,2,5,12,2007,-17.40,-17.70,-39.35,5.53,70.48,70.30,62.97,78.48,14.65,13.75,2.60,32.75,54.20,47.26,2.37,177.34,256.23,257.55,147.72,318.85,1.90,0.99,0.38,13.47,0.40,0.38,0.25,1.99,5.88,5.00,1.00,17.00
46,30,3,5,12,2007,224.45,224.55,210.77,239.21,35.97,35.90,26.68,45.23,16.93,17.06,1.62,28.54,312.72,313.01,291.69,324.66,240.17,240.21,228.91,257.20,2.17,1.16,0.46,12.67,1.54,1.53,1.27,2.29,5.48,5.00,1.00,29.00
47,36,1,10,2,2007,32.74,32.27,10.21,59.10,-28.91,-28.92,-52.38,-5.68,19.49,19.86,1.49,38.35,175.51,175.43,2.05,244.24,201.81,268.06,0.17,359.81,0.92,0.79,0.23,13.36,0.91,0.76,0.37,6.80,5.45,4.00,1.00,46.00
